id_cliente,canal_adquisicion,cac_mxn,cohorte_mes,ciudad,dispositivo_registro,edad,newsletter,descuento_primera,monto_primera_compra,categoria_primera,piezas_primera,pedidos_90d,dias_a_segunda_compra_90d,tasa_devolucion_90d,activo_app_90d,gasto_12m
501500,Organico,93.0,4,CDMX,Tablet,30.0,1,0,1100.0,Deportivo,2,2,19.0,0.22,0,1100.0
500974,Google Ads,364.0,10,CDMX,Movil,27.0,0,5,599.0,Accesorios,2,1,15.0,0.594,0,599.0
500776,Referido,185.0,2,CDMX,Movil,37.0,1,0,462.0,Calzado,3,9,2.0,0.604,1,2070.0
501406,Afiliados,209.0,6,Monterrey,Escritorio,35.0,0,0,337.0,Ropa,3,0,,0.0,0,337.0
501904,Google Ads,323.0,8,Puebla,Escritorio,39.0,0,15,179.0,Ropa,1,1,14.0,0.011,0,179.0
501870,Organico,100.0,7,CDMX,Tablet,35.0,0,0,430.0,Calzado,6,1,21.0,0.432,0,430.0
501990,Instagram,297.0,9,Puebla,Movil,46.0,0,0,539.0,Calzado,1,2,4.0,0.008,0,539.0
500052,Instagram,397.0,1,Merida,Movil,42.0,0,25,262.0,Calzado,2,0,,0.0,0,262.0
501921,Organico,173.0,5,CDMX,Movil,21.0,1,0,596.0,Accesorios,1,2,31.0,0.078,0,823.0
500007,Organico,133.0,6,Guadalajara,Movil,23.0,0,0,950.0,Ropa,3,0,,0.0,1,950.0
501620,Organico,111.0,8,CDMX,Movil,34.0,0,0,345.0,Calzado,3,0,,0.0,0,547.0
501445,Instagram,314.0,2,Guadalajara,Escritorio,39.0,0,20,219.0,Calzado,1,0,,0.0,0,219.0
500118,Referido,150.0,12,Guadalajara,Movil,32.0,1,25,1293.0,Calzado,2,2,20.0,0.17,0,1293.0
500408,Instagram,451.0,4,CDMX,Movil,35.0,1,15,216.0,Accesorios,1,0,,0.0,0,216.0
501362, Referido,427.0,6,Guadalajara,Movil,50.0,0,20,177.0,Ropa,1,1,55.0,0.146,0,177.0
500938,Afiliados,298.0,4,Guadalajara,Movil,26.0,0,25,277.0,Accesorios,5,1,21.0,0.212,0,
501284,Instagram,354.0,6,Guadalajara,Movil,27.0,0,0,435.0,Ropa,1,0,,0.0,0,435.0
500686,Instagram,330.0,2,Guadalajara,Movil,47.0,0,0,423.0,Calzado,1,0,,0.0,1,423.0
501073,Organico,102.0,12,Puebla,Movil,35.0,1,0,782.0,Deportivo,2,1,59.0,0.354,1,1342.0
501687,Organico,125.0,8,Merida,Escritorio,42.0,1,0,371.0,Calzado,2,1,33.0,0.146,0,
500170,Google Ads,671.0,12,Guadalajara,Escritorio,34.0,1,0,582.0,Ropa,1,1,24.0,0.199,1,840.0
501008,Referido,153.0,6,Puebla,Movil,32.0,0,25,630.0,Deportivo,3,1,4.0,0.12,1,630.0
500406,Referido,161.0,5,CDMX,Movil,35.0,1,10,513.0,Calzado,2,2,9.0,0.4,1,1682.0
501371,Google Ads,395.0,10,CDMX,Escritorio,35.0,0,0,411.0,Accesorios,1,1,41.0,0.022,0,411.0
500473,Google Ads,669.0,11,Monterrey,Movil,35.0,0,0,406.0,Calzado,4,0,,0.0,1,637.0
501397,Afiliados,176.0,1,CDMX,Movil,,1,0,321.0,Calzado,1,0,,0.0,0,321.0
500409, Referido,174.0,2,CDMX,Movil,52.0,0,5,618.0,Accesorios,3,1,35.0,0.078,1,
500328,Afiliados,239.0,10,Puebla,Escritorio,40.0,0,0,310.0,Ropa,2,0,,0.0,1,310.0
501691,Instagram,357.0,8,CDMX,Escritorio,32.0,0,0,943.0,Deportivo,4,1,27.0,0.306,1,1098.0
501045,Organico,174.0,2,Puebla,Movil,46.0,1,0,805.0,Calzado,1,4,13.0,0.279,0,805.0
500340,Organico,,10,Guadalajara,Movil,43.0,1,20,758.0,Accesorios,1,1,5.0,0.327,0,777.0
500927,Referido,122.0,3,Merida,Escritorio,37.0,0,15,497.0,Calzado,6,1,29.0,0.181,1,773.0
500602,Organico,128.0,7,Monterrey,Escritorio,34.0,1,20,579.0,Calzado,1,3,16.0,0.216,1,2276.0
501247,Afiliados,257.0,4,CDMX,Movil,41.0,1,0,541.0,Calzado,2,2,23.0,0.154,0,545.0
501441,Instagram,391.0,9,Guadalajara,Movil,36.0,1,0,313.0,Calzado,2,0,,0.0,1,459.0
500363,Organico,200.0,6,Guadalajara,Movil,27.0,0,0,619.0,Calzado,2,1,24.0,0.515,0,619.0
500233,Instagram,539.0,5,Guadalajara,Escritorio,42.0,1,20,392.0,Accesorios,3,1,23.0,0.296,0,392.0
501511,Organico,156.0,11,Puebla,Movil,43.0,1,10,287.0,Ropa,1,2,21.0,0.255,1,429.0
500193,Afiliados,234.0,4,Monterrey,Movil,,0,20,217.0,Ropa,2,2,53.0,0.088,0,217.0
500024,Afiliados,268.0,5,Guadalajara,Movil,,0,30,390.0,Ropa,3,0,,0.0,0,390.0
500493,Afiliados,221.0,1,Puebla,Escritorio,0.0,1,30,204.0,Ropa,1,0,,0.0,0,204.0
500369,Google Ads,491.0,1,Puebla,Movil,27.0,1,0,597.0,Calzado,1,2,16.0,0.209,0,597.0
500370,Organico,171.0,3,Monterrey,Movil,20.0,1,20,674.0,Calzado,4,2,17.0,0.075,0,769.0
501638,Afiliados,150.0,12,CDMX,Movil,22.0,0,20,305.0,Accesorios,1,0,,0.0,0,305.0
500871,Referido,159.0,1,Merida,Movil,46.0,1,15,493.0,Ropa,1,5,22.0,0.045,0,768.0
500625,Afiliados,175.0,6,CDMX,Movil,28.0,0,25,390.0,Ropa,1,0,,0.0,0,390.0
501002,Organico,119.0,6,CDMX,Movil,36.0,0,25,576.0,Ropa,1,2,30.0,0.046,1,576.0
500048,Google Ads,358.0,9,Merida,Movil,18.0,1,15,242.0,Accesorios,1,0,,0.0,0,242.0
501509,Google Ads,,5,CDMX,Escritorio,44.0,0,5,572.0,Ropa,2,4,22.0,0.506,1,572.0
501252,Afiliados,254.0,9,Puebla,Tablet,,0,25,218.0,Ropa,3,0,,0.0,1,218.0
501523,Referido,139.0,10,CDMX,Movil,39.0,0,0,581.0,Ropa,2,6,29.0,0.231,1,862.0
500414,Instagram,364.0,4,Puebla,Movil,51.0,1,30,574.0,Accesorios,3,0,,0.0,0,574.0
500114,Instagram,340.0,11,Guadalajara,Escritorio,31.0,1,20,733.0,Calzado,4,0,,0.0,0,733.0
500865,Instagram,310.0,7,Monterrey,Movil,45.0,1,25,338.0,Ropa,1,0,,0.0,1,338.0
500740,Google Ads,,7,Guadalajara,Movil,31.0,1,30,332.0,Ropa,4,3,4.0,0.139,0,397.0
501871,Referido,168.0,9,Guadalajara,Movil,57.0,1,0,509.0,Ropa,1,0,,0.0,0,509.0
501392,Instagram,265.0,3,Merida,Movil,43.0,0,20,379.0,Calzado,1,0,,0.0,0,
500944,Instagram,349.0,12,Monterrey,Movil,43.0,0,25,334.0,Ropa,1,1,23.0,0.283,0,334.0
501037,Google Ads,525.0,11,CDMX,Tablet,32.0,0,0,298.0,Ropa,1,1,62.0,0.031,1,458.0
500820,Google Ads,351.0,10,CDMX,Movil,45.0,1,30,533.0,Ropa,1,2,12.0,0.523,0,805.0
501373,Google Ads,509.0,12,Monterrey,Movil,39.0,0,25,477.0,Deportivo,1,5,56.0,0.172,1,563.0
501825,Organico,113.0,8,CDMX,Movil,40.0,1,0,399.0,Ropa,3,2,39.0,0.562,1,683.0
500492,Organico,183.0,3,CDMX,Escritorio,28.0,1,30,1106.0,Accesorios,1,2,24.0,0.135,1,1106.0
500943,Instagram,539.0,5,Puebla,Escritorio,22.0,0,0,344.0,Deportivo,2,2,13.0,0.001,0,344.0
500784,Afiliados,250.0,10,Guadalajara,Movil,34.0,0,0,390.0,Ropa,1,0,,0.0,0,390.0
500567,Afiliados,231.0,11,Guadalajara,Tablet,18.0,1,15,577.0,Ropa,1,0,,0.0,0,577.0
500643,Google Ads,549.0,12,CDMX,Movil,,1,10,220.0,Accesorios,1,0,,0.0,0,220.0
500765,Referido,213.0,9,Guadalajara,Escritorio,30.0,0,0,291.0,Ropa,3,1,27.0,0.19,0,291.0
501724,Referido,124.0,2,Puebla,Movil,27.0,1,0,1046.0,Ropa,1,3,38.0,0.337,1,
500302,Referido,98.0,1,Puebla,Movil,19.0,1,5,838.0,Ropa,1,3,16.0,0.303,1,945.0
501169,Organico,125.0,4,Guadalajara,Movil,27.0,1,30,566.0,Accesorios,3,1,36.0,0.115,0,655.0
