cliente_id,ingreso_mensual,antiguedad_laboral_meses,score_buro,edad_cliente,tipo_empleo,num_productos_banco,pagos_tardios_12m,estado_civil,monto_linea_credito
1033,,100.0,529.0,39.0,ASALARIADO,2,2,SOLTERO,197127.12
1172,28791.61,34.0,693.0,39.0, Asalariado,1,0, Soltero,243856.94
1195,15590.11,70.0,638.0,42.0,Asalariado,4,1, Divorciado,196710.87
1116,20499.31,170.0,604.0,33.0,independiente,1,2,casado,206261.54
1049,30770.77,39.0,585.0,51.0,ASALARIADO,2,2,casado,228405.37
1464,7379.64,45.0,660.0,42.0,ASALARIADO,7,1, Soltero,164241.83
1104,31268.88,10.0,631.0,40.0, Asalariado,3,0, Union libre,246212.34
1283,32883.23,24.0,707.0,54.0,Asalariado,3,2,soltero,251208.75
1494,,92.0,624.0,43.0, Independiente,2,0,SOLTERO,239219.12
1028,28106.27,78.0,784.0,40.0,ASALARIADO,2,3,soltero,266269.67
1175,14137.53,26.0,584.0,46.0,asalariado,2,2, Union libre,166537.15
1137,27664.87,32.0,672.0,44.0,ASALARIADO,3,3,Soltero,233452.66
1153,10765.19,49.0,813.0,47.0,asalariado,2,1,SOLTERO,204206.71
1072,15367.06,129.0,445.0,51.0, Negocio propio,2,2,soltero,143644.32
1478,15293.53,163.0,659.0,20.0,Independiente,2,1, Soltero,180895.77
1174,14582.35,42.0,707.0,43.0,Asalariado,3,0, Casado,202903.92
1400,19010.28,46.0,630.0,46.0, Asalariado,2,5,CASADO,183597.22
1065,31045.43,95.0,742.0,44.0,asalariado,4,0,SOLTERO,255956.75
1051,27457.51,45.0,654.0,35.0,ASALARIADO,3,2,UNION LIBRE,244683.03
1180,27429.52,66.0,584.0,42.0,ASALARIADO,3,1, Soltero,224461.68
1119,38615.12,33.0,724.0,34.0, Negocio propio,2,0,CASADO,300882.1
1215,22214.78,84.0,753.0,33.0, Asalariado,4,3,casado,224768.45
1103,21971.76,63.0,688.0,38.0,NEGOCIO PROPIO,6,2,SOLTERO,223988.95
1050,25574.42,,699.0,37.0,independiente,6,1,Union libre,246537.23
1011,32474.88,19.0,637.0,21.0,Negocio propio,2,0,CASADO,249495.74
1189,13370.65,43.0,656.0,18.0,Independiente,3,0, Soltero,171851.25
1047,32407.14,33.0,499.0,46.0,asalariado,2,1,DIVORCIADO,226213.51
1007,26086.64,50.0,737.0,30.0,Asalariado,1,2, Soltero,252882.29
1031,43204.0,57.0,746.0,38.0, Independiente,7,3,Casado,312998.34
1248,40613.76,32.0,691.0,48.0,NEGOCIO PROPIO,2,1, Soltero,286312.22
1261,22975.52,99.0,655.0,44.0,INDEPENDIENTE,2,3,casado,208612.31
1211,32785.17,76.0,658.0,29.0,asalariado,4,3,Soltero,252581.09
1264,20279.72,35.0,699.0,26.0,Negocio propio,2,2,casado,194941.83
1101,21785.62,21.0,514.0,29.0,asalariado,3,1, Casado,182183.17
1054,22282.79,88.0,666.0,31.0,Asalariado,4,0,CASADO,231117.0
1288,,89.0,683.0,38.0, Asalariado,5,0,Casado,236447.95
1505,6000.0,150.0,541.0,30.0, Independiente,2,5,Casado,107163.28
