id_cliente,edad,tiempo_navegacion_min,visitas_previas,gasto_historico_promedio_mxn,genero,region,dispositivo,fuente_trafico,categoria_interes,monto_compra_mxn
1,41,22,2,259,Femenino,Norte,Móvil,Email,Electrónica,1597
2,33,6,3,3667,Masculino,Centro,Tablet,Email,Electrónica,3763
3,43,3,5,3259,Masculino,Occidente,Desktop,Directo,Electrónica,2663
4,54,8,4,1443,Femenino,Centro,Tablet,Email,Ropa,3953
5,31,4,4,1907,Masculino,Centro,Desktop,Red Social,Ropa,3059
6,31,6,3,2731,Femenino,Centro,Móvil,Red Social,Electrónica,2500
7,55,22,2,517,Femenino,Norte,Desktop,Búsqueda,Ropa,3205
8,44,3,2,1184,Femenino,Centro,Desktop,Email,Electrónica,3126
9,28,25,3,3413,Femenino,Centro,Móvil,Búsqueda,Deportes,1825
10,42,18,6,662,Masculino,Norte,Móvil,Email,Deportes,2350
11,28,1,5,2286,Femenino,Sur,Desktop,Búsqueda,Hogar,2047
12,28,1,4,610,Masculino,Centro,Móvil,Búsqueda,Ropa,3089
13,38,1,2,2625,Masculino,Sur,Desktop,Búsqueda,Deportes,2279
14,18,1,3,1757,Femenino,Occidente,Desktop,Búsqueda,Deportes,1873
15,18,1,2,496,Masculino,Norte,Tablet,Email,Ropa,1244
16,27,9,1,4590,Femenino,Sur,Móvil,Email,Hogar,842
17,21,1,7,1004,Femenino,Centro,Móvil,Red Social,Ropa,1252
18,39,3,5,945,Femenino,Occidente,Desktop,Búsqueda,Hogar,2277
19,23,14,3,2122,Femenino,Norte,Móvil,Búsqueda,Deportes,363
20,18,1,5,4531,Masculino,Sur,Desktop,Búsqueda,Ropa,3954
21,54,13,3,802,Masculino,Centro,Desktop,Búsqueda,Deportes,3616
22,32,2,6,1899,Femenino,Centro,Móvil,Directo,Electrónica,3536
23,35,1,4,2547,Masculino,Norte,Móvil,Búsqueda,Deportes,1738
24,18,9,5,3147,Femenino,Sur,Móvil,Red Social,Electrónica,1617
25,27,7,5,2082,Femenino,Sur,Móvil,Búsqueda,Hogar,482
26,36,16,4,1348,Femenino,Centro,Tablet,Búsqueda,Ropa,1965
27,20,10,2,932,Masculino,Sur,Desktop,Red Social,Ropa,1840
28,39,13,5,1937,Masculino,Centro,Desktop,Red Social,Ropa,1374
29,27,2,4,766,Masculino,Sur,Desktop,Búsqueda,Deportes,1989
30,31,1,6,174,Masculino,Norte,Móvil,Búsqueda,Hogar,2077
31,27,11,4,2563,Femenino,Occidente,Tablet,Red Social,Deportes,100
32,59,13,5,3726,Masculino,Centro,Desktop,Búsqueda,Deportes,1753
33,34,37,0,273,Masculino,Centro,Desktop,Búsqueda,Ropa,2273
34,21,4,8,806,Masculino,Norte,Desktop,Directo,Electrónica,5474
35,45,3,5,2967,Femenino,Norte,Móvil,Red Social,Ropa,1705
36,19,11,7,5000,Femenino,Centro,Desktop,Red Social,Ropa,896
37,37,3,2,1838,Masculino,Norte,Móvil,Red Social,Ropa,1983
38,18,21,0,1009,Masculino,Sur,Móvil,Red Social,Electrónica,823
39,18,15,5,1561,Masculino,Norte,Móvil,Red Social,Ropa,2511
40,37,4,4,5000,Masculino,Centro,Tablet,Email,Ropa,2361
41,44,11,4,1078,Femenino,Centro,Desktop,Email,Ropa,2681
42,37,11,2,953,Femenino,Norte,Desktop,Búsqueda,Ropa,3217
43,33,1,3,1228,Masculino,Norte,Desktop,Red Social,Deportes,880
44,31,18,3,843,Masculino,Centro,Desktop,Red Social,Hogar,1415
45,18,5,3,1994,Femenino,Centro,Tablet,Directo,Deportes,1331
46,25,14,3,5000,Masculino,Centro,Móvil,Red Social,Electrónica,3651
47,29,3,2,2341,Femenino,Centro,Móvil,Red Social,Ropa,100
48,48,18,5,1477,Masculino,Centro,Móvil,Búsqueda,Hogar,100
49,39,3,4,1431,Masculino,Norte,Desktop,Red Social,Ropa,1877
50,18,1,3,517,Masculino,Centro,Desktop,Búsqueda,Ropa,3083
51,39,18,3,3664,Masculino,Occidente,Móvil,Red Social,Ropa,2403
52,29,1,3,1698,Femenino,Centro,Móvil,Búsqueda,Ropa,1284
53,26,3,2,1564,Masculino,Sur,Desktop,Email,Ropa,2102
54,42,23,2,5000,Masculino,Centro,Móvil,Búsqueda,Electrónica,4104
55,48,24,6,2296,Masculino,Sur,Desktop,Red Social,Hogar,461
56,47,6,2,990,Masculino,Sur,Tablet,Directo,Ropa,1550
57,24,7,1,1285,Masculino,Centro,Móvil,Búsqueda,Ropa,2155
58,30,4,1,4531,Masculino,Occidente,Móvil,Red Social,Hogar,1915
59,39,2,5,1979,Femenino,Norte,Desktop,Red Social,Ropa,1443
60,47,3,4,572,Masculino,Norte,Desktop,Búsqueda,Ropa,2624
61,28,8,5,3772,Masculino,Sur,Móvil,Email,Deportes,100
